"","county","X","administered_date","total_doses","cumulative_total_doses","pfizer_doses","cumulative_pfizer_doses","moderna_doses","cumulative_moderna_doses","jj_doses","cumulative_jj_doses","partially_vaccinated","total_partially_vaccinated","fully_vaccinated","cumulative_fully_vaccinated","at_least_one_dose","cumulative_at_least_one_dose","california_flag","population","propvacc","BidenCount","BidenProp","TrumpCount","TrumpProp"
"1","alameda",1,"2020-12-15",36,36,36,36,0,0,0,0,36,36,0,0,36,36,"California",1685886,0,617659,0.802,136309,0.177
"2","alameda",2,"2020-12-16",206,242,206,242,0,0,0,0,206,242,0,0,206,242,"California",1685886,0,617659,0.802,136309,0.177
"3","alameda",3,"2020-12-17",396,638,396,638,0,0,0,0,396,638,0,0,396,638,"California",1685886,0,617659,0.802,136309,0.177
"4","alameda",4,"2020-12-18",1775,2413,1775,2413,0,0,0,0,1775,2413,0,0,1775,2413,"California",1685886,0,617659,0.802,136309,0.177
"5","alameda",5,"2020-12-19",1353,3766,1353,3766,0,0,0,0,1353,3766,0,0,1353,3766,"California",1685886,0,617659,0.802,136309,0.177
"6","alameda",6,"2020-12-20",1162,4928,1161,4927,1,1,0,0,1161,4926,1,1,1161,4927,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"7","alameda",7,"2020-12-21",1861,6789,1859,6786,2,3,0,0,1860,6786,0,1,1860,6787,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"8","alameda",8,"2020-12-22",2100,8889,2047,8833,53,56,0,0,2100,8886,0,1,2100,8887,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"9","alameda",9,"2020-12-23",1943,10832,1685,10518,258,314,0,0,1944,10830,0,1,1944,10831,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"10","alameda",10,"2020-12-24",1220,12052,760,11278,460,774,0,0,1220,12050,0,1,1220,12051,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"11","alameda",11,"2020-12-25",166,12218,129,11407,37,811,0,0,166,12216,0,1,166,12217,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"12","alameda",12,"2020-12-26",870,13088,326,11733,544,1355,0,0,870,13086,0,1,870,13087,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"13","alameda",13,"2020-12-27",498,13586,256,11989,242,1597,0,0,498,13584,0,1,498,13585,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"14","alameda",14,"2020-12-28",1885,15471,959,12948,926,2523,0,0,1885,15469,0,1,1885,15470,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"15","alameda",15,"2020-12-29",2431,17902,1025,13973,1406,3929,0,0,2430,17899,0,1,2430,17900,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"16","alameda",16,"2020-12-30",3132,21034,1365,15338,1767,5696,0,0,3134,21033,0,1,3134,21034,"California",1685886,5.9315991709997e-07,617659,0.802,136309,0.177
"17","alameda",17,"2020-12-31",1796,22830,443,15781,1353,7049,0,0,1794,22826,1,2,1794,22828,"California",1685886,1.18631983419994e-06,617659,0.802,136309,0.177
"18","alameda",18,"2021-01-01",172,23002,70,15851,102,7151,0,0,171,22996,1,3,171,22999,"California",1685886,1.77947975129991e-06,617659,0.802,136309,0.177
"19","alameda",19,"2021-01-02",727,23729,524,16375,203,7354,0,0,726,23722,0,3,726,23725,"California",1685886,1.77947975129991e-06,617659,0.802,136309,0.177
"20","alameda",20,"2021-01-03",343,24072,222,16597,121,7475,0,0,340,24059,3,6,340,24065,"California",1685886,3.55895950259982e-06,617659,0.802,136309,0.177
"21","alameda",21,"2021-01-04",1648,25720,943,17540,705,8180,0,0,1636,25684,11,17,1636,25701,"California",1685886,1.00837185906995e-05,617659,0.802,136309,0.177
"22","alameda",22,"2021-01-05",2208,27928,1266,18806,942,9122,0,0,1972,27423,233,250,1972,27673,"California",1685886,0.000148289979274992,617659,0.802,136309,0.177
"23","alameda",23,"2021-01-06",3249,31177,1782,20588,1467,10589,0,0,2428,29035,818,1068,2430,30103,"California",1685886,0.000633494791462768,617659,0.802,136309,0.177
"24","alameda",24,"2021-01-07",3777,34954,2113,22701,1664,12253,0,0,2688,30647,1080,2148,2692,32795,"California",1685886,0.00127410750193074,617659,0.802,136309,0.177
"25","alameda",25,"2021-01-08",4739,39693,2706,25407,2033,14286,0,0,3110,32136,1625,3773,3114,35909,"California",1685886,0.00223799236721819,617659,0.802,136309,0.177
"26","alameda",26,"2021-01-09",2034,41727,1388,26795,646,14932,0,0,1173,32448,861,4634,1173,37082,"California",1685886,0.00274870305584126,617659,0.802,136309,0.177
"27","alameda",27,"2021-01-10",1068,42795,846,27641,222,15154,0,0,428,32235,641,5275,428,37510,"California",1685886,0.00312891856270234,617659,0.802,136309,0.177
"28","alameda",28,"2021-01-11",4650,47445,3515,31156,1135,16289,0,0,2856,33305,1793,7068,2863,40373,"California",1685886,0.00419245429406259,617659,0.802,136309,0.177
"29","alameda",29,"2021-01-12",4831,52276,3251,34407,1580,17869,0,0,3439,35356,1391,8459,3442,43815,"California",1685886,0.00501753973874865,617659,0.802,136309,0.177
"30","alameda",30,"2021-01-13",5045,57321,2665,37072,2380,20249,0,0,3856,38028,1185,9644,3857,47672,"California",1685886,0.00572043424051211,617659,0.802,136309,0.177
"31","alameda",31,"2021-01-14",5638,62959,2772,39844,2866,23115,0,0,4752,41905,878,10522,4755,52427,"California",1685886,0.00624122864772588,617659,0.802,136309,0.177
"32","alameda",32,"2021-01-15",5842,68801,2314,42158,3528,26643,0,0,5075,46223,761,11283,5079,57506,"California",1685886,0.00669262334463896,617659,0.802,136309,0.177
"33","alameda",33,"2021-01-16",3007,71808,1409,43567,1598,28241,0,0,2737,48691,270,11553,2738,60244,"California",1685886,0.00685277652225595,617659,0.802,136309,0.177
"34","alameda",34,"2021-01-17",1869,73677,1083,44650,786,29027,0,0,1662,50148,206,11759,1663,61907,"California",1685886,0.00697496746517855,617659,0.802,136309,0.177
"35","alameda",35,"2021-01-18",3200,76877,2055,46705,1145,30172,0,0,2605,52167,591,12350,2610,64517,"California",1685886,0.00732552497618463,617659,0.802,136309,0.177
"36","alameda",36,"2021-01-19",5530,82407,3334,50039,2196,32368,0,0,4337,55315,1191,13541,4339,68856,"California",1685886,0.00803197843745069,617659,0.802,136309,0.177
"37","alameda",37,"2021-01-20",6780,89187,4111,54150,2669,35037,0,0,5483,59518,1284,14825,5487,74343,"California",1685886,0.00879359577100705,617659,0.802,136309,0.177
"38","alameda",38,"2021-01-21",7780,96967,3406,57556,4374,39411,0,0,6942,65633,832,15657,6947,81290,"California",1685886,0.00928710482203423,617659,0.802,136309,0.177
"39","alameda",39,"2021-01-22",6850,103817,2038,59594,4812,44223,0,0,5711,70214,1132,16789,5713,87003,"California",1685886,0.0099585618481914,617659,0.802,136309,0.177
"40","alameda",40,"2021-01-23",3290,107107,947,60541,2343,46566,0,0,2735,72396,555,17344,2737,89740,"California",1685886,0.0102877656021819,617659,0.802,136309,0.177
"41","alameda",41,"2021-01-24",2052,109159,656,61197,1396,47962,0,0,1776,73900,272,17616,1776,91516,"California",1685886,0.0104491050996331,617659,0.802,136309,0.177
"42","alameda",42,"2021-01-25",5221,114380,1984,63181,3237,51199,0,0,3634,75956,1579,19195,3635,95151,"California",1685886,0.0113857046087339,617659,0.802,136309,0.177
